id_producto,nombre,precio,disponible
P-001,Bitácora A5 Tapa Dura,15.50,TRUE
P-002,Set de Plumones Acuarelables x12,25.90,TRUE
P-003,Lápiz de Grafito HB Unidad,1.20,FALSE
P-004,Goma de Borrar Tipo Miga,0.80,TRUE
P-005,Cuaderno Anillado A4 100 Hojas,8.50,FALSE
P-006,Agenda Diaria 2025 Bolsillo,18.99,TRUE
P-007,Tijeras de Precisión Punta Fina,7.45,TRUE
P-008,Pack de Resaltadores Neón x5,11.75,TRUE
P-009,Cinta Adhesiva Transparente Grande,3.50,TRUE
P-010,Bloc de Notas Autoadhesivas 7x7cm,2.10,FALSE
P-011,Mochila Porta Laptop Ergonómica,89.99,TRUE
P-012,Mouse Inalámbrico Recargable,22.30,TRUE
P-013,Teclado Mecánico RGB 60%,55.00,FALSE
P-014,Auriculares Bluetooth Diadema,34.90,TRUE
P-015,Webcam Full HD con Micrófono,19.95,FALSE
